Id,Дата визита,Пол,UTM Term,Возраст,Визиты,Посетители,Глубина просмотра,Среднее время на сайте_сек,Средний доход покупки_RUB,Добавили в корзину,Количество покупок,Новые посетители, , , , , , , , , , , 
72,2023-11-11,мужской,social,35‑44 года,91,79,5.15,218.00,8074.00,7.00,5.00,38.00,,,,,,,,,,,
73,2023-11-07,мужской,social,45-54 года,90,79,2.42,136.00,18370.00,1.00,1.00,46.00,,,,,,,,,,,
74,2023-11-01,мужской,social,45-54 года,89,80,2.94,140.00,0.00,5.00,0.00,50.00,,,,,,,,,,,
75,2023-11-27,мужской,social,25‑34 года,89,78,4.08,177.00,36370.00,1.00,1.00,38.00,,,,,,,,,,,
76,2023-11-28,мужской,social,25‑34 года,89,80,3.43,136.00,0.00,0.00,0.00,44.00,,,,,,,,,,,
77,2023-11-08,мужской,social,18‑24 года,88,83,3.60,150.00,142230.00,3.00,1.00,50.00,,,,,,,,,,,
78,2023-11-24,мужской,social,35‑44 года,88,81,2.83,138.00,33643.33,4.00,3.00,52.00,,,,,,,,,,,
79,2023-11-23,мужской,social,25‑34 года,85,78,4.68,192.00,10830.00,3.00,2.00,29.00,,,,,,,,,,,
80,2023-11-06,мужской,social,18‑24 года,84,74,2.29,114.00,0.00,0.00,0.00,40.00,,,,,,,,,,,
81,2023-11-13,мужской,social,25‑34 года,84,76,4.87,251.00,43910.00,7.00,3.00,29.00,,,,,,,,,,,
82,2023-11-13,мужской,social,35‑44 года,84,80,4.18,227.00,35486.67,6.00,3.00,48.00,,,,,,,,,,,
83,2023-11-15,мужской,social,35‑44 года,84,82,2.19,80.00,16470.00,4.00,1.00,45.00,,,,,,,,,,,
84,2023-11-02,женский,social,25‑34 года,83,72,2.74,139.00,20970.00,5.00,3.00,51.00,,,,,,,,,,,
85,2023-11-03,мужской,social,45-54 года,83,72,3.18,191.00,16830.00,3.00,2.00,51.00,,,,,,,,,,,
86,2023-11-05,мужской,social,45-54 года,83,66,2.86,272.00,0.00,1.00,0.00,49.00,,,,,,,,,,,
87,2023-11-16,мужской,social,35‑44 года,83,77,2.35,55.00,157010.00,3.00,1.00,42.00,,,,,,,,,,,
